# Name, Draft/Sealed/Lands, All sets and metas
Alpha, 3/6/LEA, LEA  
Beta, 3/6/LEB, LEB  
Unlimited, 3/6/2ED, 2ED  
Arabian Nights, 5/9/2ED, ARN  
Antiquities, 5/9/2ED, ATQ  
Revised, 3/6/3ED, 3ED  
Legends, 3/6/3ED, LEG  
The Dark, 5/9/3ED, DRK  
Fallen Empires, 5/9/3ED, FEM  
Fourth Edition, 3/6/4ED, 4ED CHR  
Ice Age, 3/6/ICE, ICE ALL CSP
Homelands, 5/9/4ED, HML  
Mirage, 3/6/MIR, MIR VIS WTH
Fifth Edition, 3/6/5ED, 5ED  
Portal, 3/6/POR, POR  
Tempest, 3/6/TMP, TMP STH EXO
Portal Second Age, 3/6/PO2, PO2  
Urza, 3/6/USG, USG ULG UDS
Sixth Edition, 3/6/6ED, 6ED  
Portal Three Kingdoms, 5/9/PTK, PTK  
Masques, 3/6/MMQ, MMQ NMS PCY
Invasion, 3/6/INV, INV PLS APC
Seventh Edition, 3/6/7ED, 7ED  
Odyssey, 3/6/ODY, ODY TOR JUD
Onslaught, 3/6/ONS, ONS LGN SCG
